package,version,license,license_source,direct_dependency,dev_dependency,resolved,package_path,license_file
@esbuild/linux-arm64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.27.2.tgz,node_modules/@esbuild/linux-arm64,
@esbuild/linux-ia32,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.27.2.tgz,node_modules/@esbuild/linux-ia32,
@esbuild/linux-loong64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.27.2.tgz,node_modules/@esbuild/linux-loong64,
@esbuild/linux-mips64el,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.27.2.tgz,node_modules/@esbuild/linux-mips64el,
@esbuild/linux-ppc64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.27.2.tgz,node_modules/@esbuild/linux-ppc64,
@esbuild/linux-riscv64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-riscv64/-/linux-riscv64-0.27.2.tgz,node_modules/@esbuild/linux-riscv64,
@esbuild/linux-s390x,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-s390x/-/linux-s390x-0.27.2.tgz,node_modules/@esbuild/linux-s390x,
@esbuild/linux-x64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-x64/-/linux-x64-0.27.2.tgz,node_modules/@esbuild/linux-x64,
@esbuild/netbsd-arm64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/netbsd-arm64/-/netbsd-arm64-0.27.2.tgz,node_modules/@esbuild/netbsd-arm64,
@esbuild/netbsd-x64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/netbsd-x64/-/netbsd-x64-0.27.2.tgz,node_modules/@esbuild/netbsd-x64,
@esbuild/openbsd-arm64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/openbsd-arm64/-/openbsd-arm64-0.27.2.tgz,node_modules/@esbuild/openbsd-arm64,
@esbuild/openbsd-x64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/openbsd-x64/-/openbsd-x64-0.27.2.tgz,node_modules/@esbuild/openbsd-x64,
@esbuild/openharmony-arm64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/openharmony-arm64/-/openharmony-arm64-0.27.2.tgz,node_modules/@esbuild/openharmony-arm64,
@esbuild/sunos-x64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/sunos-x64/-/sunos-x64-0.27.2.tgz,node_modules/@esbuild/sunos-x64,
@esbuild/win32-arm64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/win32-arm64/-/win32-arm64-0.27.2.tgz,node_modules/@esbuild/win32-arm64,
@esbuild/win32-ia32,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/win32-ia32/-/win32-ia32-0.27.2.tgz,node_modules/@esbuild/win32-ia32,
@esbuild/win32-x64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/win32-x64/-/win32-x64-0.27.2.tgz,node_modules/@esbuild/win32-x64,
@jridgewell/gen-mapping,0.3.13,MIT,package-lock,false,true,https://registry.npmjs.org/@jridgewell/gen-mapping/-/gen-mapping-0.3.13.tgz,node_modules/@jridgewell/gen-mapping,node_modules/@jridgewell/gen-mapping/LICENSE
@jridgewell/remapping,2.3.5,MIT,package-lock,false,true,https://registry.npmjs.org/@jridgewell/remapping/-/remapping-2.3.5.tgz,node_modules/@jridgewell/remapping,node_modules/@jridgewell/remapping/LICENSE
@jridgewell/resolve-uri,3.1.2,MIT,package-lock,false,true,https://registry.npmjs.org/@jridgewell/resolve-uri/-/resolve-uri-3.1.2.tgz,node_modules/@jridgewell/resolve-uri,node_modules/@jridgewell/resolve-uri/LICENSE
@jridgewell/sourcemap-codec,1.5.5,MIT,package-lock,false,true,https://registry.npmjs.org/@jridgewell/sourcemap-codec/-/sourcemap-codec-1.5.5.tgz,node_modules/@jridgewell/sourcemap-codec,node_modules/@jridgewell/sourcemap-codec/LICENSE
@jridgewell/trace-mapping,0.3.31,MIT,package-lock,false,true,https://registry.npmjs.org/@jridgewell/trace-mapping/-/trace-mapping-0.3.31.tgz,node_modules/@jridgewell/trace-mapping,node_modules/@jridgewell/trace-mapping/LICENSE
@mediapipe/tasks-vision,0.10.17,Apache-2.0,package-lock,false,false,https://registry.npmjs.org/@mediapipe/tasks-vision/-/tasks-vision-0.10.17.tgz,node_modules/@mediapipe/tasks-vision,
@monogrid/gainmap-js,3.4.0,MIT,package-lock,false,false,https://registry.npmjs.org/@monogrid/gainmap-js/-/gainmap-js-3.4.0.tgz,node_modules/@monogrid/gainmap-js,node_modules/@monogrid/gainmap-js/LICENSE
@react-three/drei,10.7.7,MIT,package-lock,true,false,https://registry.npmjs.org/@react-three/drei/-/drei-10.7.7.tgz,node_modules/@react-three/drei,node_modules/@react-three/drei/LICENSE
@react-three/fiber,9.5.0,MIT,package-lock,true,false,https://registry.npmjs.org/@react-three/fiber/-/fiber-9.5.0.tgz,node_modules/@react-three/fiber,
@remix-run/router,1.23.2,MIT,package-lock,false,false,https://registry.npmjs.org/@remix-run/router/-/router-1.23.2.tgz,node_modules/@remix-run/router,node_modules/@remix-run/router/LICENSE.md
@rolldown/pluginutils,1.0.0-rc.2,MIT,package-lock,false,true,https://registry.npmjs.org/@rolldown/pluginutils/-/pluginutils-1.0.0-rc.2.tgz,node_modules/@rolldown/pluginutils,node_modules/@rolldown/pluginutils/LICENSE
@rollup/rollup-android-arm-eabi,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-android-arm-eabi/-/rollup-android-arm-eabi-4.57.1.tgz,node_modules/@rollup/rollup-android-arm-eabi,
